,Strike Price,Settle Price,Time,delta,gamma,Current_Strike_diff,Anomaly,anomaly
0,107.5,161.65,0.0027397260273972603,0.516252744442791,0.08979005635818918,54.150000000000006,-1,-1
1,105.0,161.65,0.0027397260273972603,0.5171884108241762,0.08978122010145702,56.650000000000006,-1,-1
2,112.5,161.65,0.0027397260273972603,0.514444730210794,0.08980572930894601,49.150000000000006,-1,-1
3,115.0,161.65,0.0027397260273972603,0.5135705320878033,0.08981264495303198,46.650000000000006,-1,-1
4,117.5,161.65,0.0027397260273972603,0.5127150722318542,0.08981899438658829,44.150000000000006,-1,-1
5,120.0,161.65,0.0027397260273972603,0.511877566701035,0.08982481006518998,41.650000000000006,-1,-1
6,122.5,161.65,0.0027397260273972603,0.5110572797662455,0.08983012209184942,39.150000000000006,-1,-1
7,125.0,161.65,0.0027397260273972603,0.5102535200346167,0.08983495842747131,36.650000000000006,-1,-1
8,127.5,161.65,0.0027397260273972603,0.5094656369550844,0.08983934507889803,34.150000000000006,-1,-1
9,130.0,161.65,0.0027397260273972603,0.508693017661763,0.08984330626730513,31.650000000000006,-1,-1
10,132.5,161.65,0.0027397260273972603,0.5079350841166611,0.0898468645793226,29.150000000000006,-1,-1
11,135.0,161.65,0.0027397260273972603,0.5071912905182949,0.08985004110293232,26.650000000000006,-1,-1
12,137.5,161.65,0.0027397260273972603,0.5064611209470372,0.0898528555499165,24.150000000000006,-1,-1
13,140.0,161.65,0.0027397260273972603,0.5057440872217029,0.08985532636639737,21.650000000000006,-1,-1
14,142.5,161.65,0.0027397260273972603,0.5050397269450256,0.08985747083280922,19.150000000000006,-1,-1
15,145.0,161.65,0.0027397260273972603,0.5043476017183843,0.08985930515447195,16.650000000000006,-1,-1
16,147.5,161.65,0.0027397260273972603,0.5036672955084895,0.08986084454378943,14.150000000000006,-1,-1
17,150.0,161.65,0.0027397260273972603,0.5029984131507572,0.08986210329496917,11.650000000000006,-1,-1
18,152.5,161.65,0.0027397260273972603,0.5023405789758675,0.08986309485205153,9.150000000000006,-1,-1
19,155.0,161.65,0.0027397260273972603,0.5016934355475324,0.08986383187094198,6.650000000000006,-1,-1
20,157.5,161.65,0.0027397260273972603,0.5010566425008355,0.08986432627605874,4.150000000000006,-1,-1
21,160.0,161.65,0.0027397260273972603,0.500429875471674,0.08986458931213741,1.6500000000000057,-1,-1
22,162.5,161.65,0.0027397260273972603,0.49981282510886055,0.08986463159167178,-0.8499999999999943,-1,-1
23,165.0,161.65,0.0027397260273972603,0.4992051961613387,0.08986446313841699,-3.3499999999999943,-1,-1
24,167.5,161.65,0.0027397260273972603,0.4986067066337586,0.08986409342733329,-5.849999999999994,-1,-1
25,170.0,161.65,0.0027397260273972603,0.49801708700435915,0.08986353142130807,-8.349999999999994,-1,-1
26,172.5,161.65,0.0027397260273972603,0.49743607949971685,0.08986278560495709,-10.849999999999994,-1,-1
27,175.0,161.65,0.0027397260273972603,0.4968634374214703,0.0898618640157738,-13.349999999999994,-1,-1
28,177.5,161.65,0.0027397260273972603,0.49629892452061125,0.0898607742728682,-15.849999999999994,-1,-1
29,180.0,161.65,0.0027397260273972603,0.49574231441536487,0.089859523603511,-18.349999999999994,-1,-1
30,182.5,161.65,0.0027397260273972603,0.49519339004906454,0.08985811886767735,-20.849999999999994,-1,-1
31,185.0,161.65,0.0027397260273972603,0.4946519431847668,0.08985656658076477,-23.349999999999994,-1,-1
32,187.5,161.65,0.0027397260273972603,0.4941177739336579,0.08985487293464273,-25.849999999999994,-1,-1
33,190.0,161.65,0.0027397260273972603,0.49359069031457564,0.0898530438171756,-28.349999999999994,-1,-1
34,192.5,161.65,0.0027397260273972603,0.4930705078422144,0.08985108483034739,-30.849999999999994,-1,-1
35,195.0,161.65,0.0027397260273972603,0.49255704914179954,0.08984900130710419,-33.349999999999994,-1,-1
36,197.5,161.65,0.0027397260273972603,0.4920501435882159,0.0898467983270195,-35.849999999999994,-1,-1
37,200.0,161.65,0.0027397260273972603,0.49154962696774956,0.08984448073087754,-38.349999999999994,-1,-1
38,80.0,161.65,0.0027397260273972603,0.52799339887345,0.08964331756624846,81.65,-1,-1
39,85.0,161.65,0.0027397260273972603,0.5255860480090822,0.08967975969944968,76.65,-1,-1
40,90.0,161.65,0.0027397260273972603,0.5233154797383295,0.0897111263730434,71.65,-1,-1
41,92.5,161.65,0.0027397260273972603,0.5222268063049124,0.08972513150908853,69.15,-1,-1
42,95.0,161.65,0.0027397260273972603,0.5211670082703637,0.0897381213565289,66.65,-1,-1
43,97.5,161.65,0.0027397260273972603,0.5201345966342789,0.08975016485734015,64.15,-1,-1
44,100.0,161.65,0.0027397260273972603,0.5191281947711864,0.08976132492494222,61.650000000000006,-1,-1
45,102.5,161.65,0.0027397260273972603,0.5181465273911247,0.08977165909652737,59.150000000000006,-1,-1
46,110.0,161.65,0.0027397260273972603,0.5153385030655839,0.0897982124101104,51.650000000000006,-1,-1
47,147.5,19.05,0.0958904109589041,0.5260126980239526,0.015157594813929287,14.150000000000006,1,1
48,150.0,17.4,0.0958904109589041,0.5220626000030278,0.015166662560473299,11.650000000000006,1,1
49,152.5,15.8,0.0958904109589041,0.518175678640519,0.015174129382198639,9.150000000000006,1,1
50,140.0,24.65,0.0958904109589041,0.5382596548155445,0.015119989887760147,21.650000000000006,1,1
51,142.5,22.7,0.0958904109589041,0.5341093951093703,0.015134342521258778,19.150000000000006,1,1
52,145.0,20.85,0.0958904109589041,0.5300276983229578,0.015146848714345514,16.650000000000006,1,1
